,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
0,Afghanistan,0,0,0,0.0
1,Albania,89,132,54,59.108999999999995
2,Algeria,25,0,14,2.7489999999999997
3,Andorra,245,138,312,98.277
4,Angola,217,57,45,36.074999999999996
5,Antigua & Barbuda,102,128,45,57.17
6,Argentina,193,25,221,43.571
7,Armenia,21,179,11,68.451
8,Australia,261,72,212,62.977
9,Austria,279,75,191,62.461
10,Azerbaijan,21,46,5,18.544999999999998
11,Bahamas,122,176,49,76.294
12,Bahrain,42,63,7,26.012
13,Bangladesh,0,0,0,0.0
14,Barbados,143,173,36,74.62100000000001
15,Belarus,142,373,42,149.272
16,Belgium,295,84,212,68.947
17,Belize,263,114,8,54.943
18,Benin,34,4,13,4.518
19,Bhutan,23,0,0,1.035
20,Bolivia,167,41,8,23.613
21,Bosnia-Herzegovina,76,173,8,68.358
22,Botswana,173,35,35,24.794999999999998
23,Brazil,245,145,16,66.53099999999999
24,Brunei,31,2,1,2.251
25,Bulgaria,231,252,94,114.53899999999999
26,Burkina Faso,25,7,7,4.527
27,Burundi,88,0,0,3.96
28,Cabo Verde,144,56,16,29.055999999999997
29,Cambodia,57,65,1,26.731
30,Cameroon,147,1,4,7.449
31,Canada,240,122,100,67.53999999999999
32,Central African Republic,17,2,1,1.621
33,Chad,15,1,1,1.161
34,Chile,130,124,172,71.682
35,China,79,192,8,75.523
36,Colombia,159,76,3,35.623
37,Comoros,1,3,1,1.271
38,Congo,76,1,9,4.834
39,Cook Islands,0,254,74,102.56400000000001
40,Costa Rica,149,87,11,40.17099999999999
41,Cote d'Ivoire,37,1,7,2.847
42,Croatia,230,87,254,72.00399999999999
43,Cuba,93,137,5,55.455
44,Cyprus,192,154,113,78.72800000000001
45,Czech Republic,361,170,134,94.689
46,Denmark,224,80,278,71.928
47,Djibouti,15,44,3,17.303
48,Dominica,52,286,26,111.176
49,Dominican Republic,193,147,9,64.119
50,DR Congo,32,3,1,2.666
51,Ecuador,162,74,3,35.018
52,Egypt,6,4,1,1.866
53,El Salvador,52,69,2,28.102
54,Equatorial Guinea,92,0,233,31.168
